Name,User_id,Followers,Post,Hashtags,Posted_time,Favourites,retweets
Hearthstone,1209608880,877640,@CONNOR_RAPPER Your rap is much appreciated by all of us here at Blizzard HQ. Grats!,[],Fri Apr 12 18:17:32 +0000 2019,1,0
Hearthstone,1209608880,877640,@FlashsquidInk @bmkibler Us today. https://t.co/tKbAwKlOSy,[],Fri Apr 12 18:16:22 +0000 2019,3,0
Hearthstone,1209608880,877640,@FlashsquidInk @bmkibler https://t.co/YMd0FSzqhw,[],Fri Apr 12 18:11:35 +0000 2019,2,0
Hearthstone,1209608880,877640,@FlashsquidInk @bmkibler It's fire. Or evil? OR BOTH?,[],Fri Apr 12 18:09:33 +0000 2019,2,0
Hearthstone,1209608880,877640,"E.V.I.L. track by 🔥@CONNOR_RAPPER 🔥 for your weekend listening.
https://t.co/1IS0vP4mPd",[],Fri Apr 12 18:07:43 +0000 2019,106,20
Hearthstone,1209608880,877640,Hearthstone veteran @G2Thijs walks us through his tips for all things #RiseOfShadows. Tune in to see how you can up… https://t.co/KeM1wFrLPR,RiseOfShadows,Fri Apr 12 16:01:11 +0000 2019,159,12
Hearthstone,1209608880,877640,"RT @HSesports: Meet Europe's legendary lineup for #HearthstoneGrandmasters!

Head over to the reveal page to learn more about the roster, i…",HearthstoneGrandmasters,Fri Apr 12 08:12:48 +0000 2019,304,55
Hearthstone,1209608880,877640,"If you're wondering how to best get into the #RiseOfShadows action, here's a quick look at what's coming this week… https://t.co/hspABAnziu",RiseOfShadows,Thu Apr 11 23:41:01 +0000 2019,167,10
Hearthstone,1209608880,877640,"Looking to update your look before entering the Tavern? Check out the Blizzard Gear Store's Spring Clearance! 

👕… https://t.co/6ZKqs3pbbC",[],Thu Apr 11 17:00:02 +0000 2019,91,13
Hearthstone,1209608880,877640,"Wondering where to start in #RiseOfShadows? The E.V.I.L. Essentials has you covered, kicking things off with… https://t.co/vG9tR7Ovkf",RiseOfShadows,Wed Apr 10 18:16:47 +0000 2019,114,15
Hearthstone,1209608880,877640,"Embrace the shadows and celebrate the launch of #RiseOfShadows with this limited-time bundle, available until April… https://t.co/W9zlSHgSmm",RiseOfShadows,Wed Apr 10 16:00:01 +0000 2019,96,10
Hearthstone,1209608880,877640,@tankyy10 You may need to log back out and back in for it to appear.,[],Tue Apr 09 17:24:35 +0000 2019,1,0
Hearthstone,1209608880,877640,"Learn more about everything coming to Hearthstone with #RiseOfShadows! 

😈 https://t.co/kZ1dlcZes8",RiseOfShadows,Tue Apr 09 17:21:47 +0000 2019,89,7
Hearthstone,1209608880,877640,"The League of E.V.I.L. has assembled, their target is set, and the plan is in motion - Hearthstone’s newest expansi… https://t.co/hxGwzYtlny",[],Tue Apr 09 17:09:49 +0000 2019,629,94
Hearthstone,1209608880,877640,"RT @PlayHearthstone: Something evil is assuredly afoot, and it has designs on the mystical floating city of Dalaran! It's your last chance…",[],Mon Apr 08 21:21:52 +0000 2019,326,52
Hearthstone,1209608880,877640,We’re thrilled to announce that tomorrow’s release of #RiseOfShadows will be our first simultaneous global launch!… https://t.co/Jo75NHuqh4,RiseOfShadows,Mon Apr 08 19:42:27 +0000 2019,1472,312
Hearthstone,1209608880,877640,@HS_Disq The Rise of Shadows pre-purchase bundles are only available until the set launches on April 9. If you're c… https://t.co/3baAcPzZZG,[],Mon Apr 08 19:06:36 +0000 2019,1,1
Hearthstone,1209608880,877640,"This weekend you can visit a @MicrosoftStore to participate in a #RiseOfShadows Pre-Release Fireside Gathering!

Fi… https://t.co/LZBcrgDU1S",RiseOfShadows,Sat Apr 06 17:00:02 +0000 2019,87,8
Hearthstone,1209608880,877640,"Don't forget, you can open your packs early and participate in unique brawls at a Pre-Release Fireside Gathering th… https://t.co/87tcCW47QL",[],Fri Apr 05 19:00:02 +0000 2019,109,18
Hearthstone,1209608880,877640,"Something evil is assuredly afoot, and it has designs on the mystical floating city of Dalaran! It's your last chan… https://t.co/pwNIoiR7bh",[],Fri Apr 05 17:01:00 +0000 2019,326,52
