Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
Seb Bruun,UCiZQ1W7PCT57KwU4Ow7x5kA,"Wait, how did they make dragons act in Game of Thrones? I thought they didn't exist.",UgzJw5k0CLxnl2QGsFF4AaABAg,0,0,2019-04-26T12:29:45.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
BLUX,UCRyi2UsdPMley-JQ_53BF_w,Emilia is funny af,UgzLTyXbGbB3jPTP89l4AaABAg,0,0,2019-04-26T00:43:33.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Richard Poindexter,UCW9LZx6tWQ2W9Y6JsGmi-gw,"As a Fan of G O T ...I hope all the actors know and appreciate the effect they have had on us normals in our everyday little lives ...No matter our predicaments of the day ...We could always get lost in the G O T and watch  a sword fight ..a battle including giants ...A ride on a good dragon , ….a treacherous love affair ..a shining knight ...humor and tears ..good endings  and bad …...The whole world watched ….and for a little while.... we were all changed …..Thank You Game Of Thrones .",UgyegSossSIaAFQ1_q54AaABAg,0,0,2019-04-25T11:09:51.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Psychosis o-O,UCMPi6P0OkO5VPY5YKB7sLFg,Jeeez Emilia Clarke is annoying AF!,UgxIbRuw1cvAAtn326Z4AaABAg,0,0,2019-04-25T11:07:35.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Mollie Asmr,UCmSlFuNstzNMMMK60elMxGg,How did kit fall in love with rose and not Emilia she’s just so amazing,UgydYH6zRQ0FkYhDbTd4AaABAg,1,0,2019-04-23T22:04:44.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Kae Fajardo,UCpE3YCqG8wVs01_GznZgWCQ,Emelia Clark is such a spaz lmao,UgwNvLNb_A-4dwq7kM94AaABAg,3,0,2019-04-23T11:47:04.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Milkovich,UClEjFhyxcsP6kPAfU5N9gJg,4:58 that boy fell straight into the water 😂,Ugz4o9bMDTfS1V7zH214AaABAg,2,0,2019-04-23T09:53:52.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
MorrowProduction,UCUKTxcHNnL1ETptgwwmMx1A,5 minutes into this video and 99.99.9999999 clips are of Emilia. Why didn't you just call this an Emillia Clark blooper reel?,Ugxxm9k8Id8H95JigSZ4AaABAg,148,0,2019-04-23T01:37:16.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
DoJoee,UC5GZcv6o5JSaZcW53H8wpyg,a dothraki jamming to tupac. niceeee,Ugytxs_Fe83F2BmOWdl4AaABAg,5,0,2019-04-22T20:33:28.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Ignacious von Papenfuss,UCzCVn51x5wviIUfpN9N0ZBA,Wtf? Dani...She's utterly delightful,UgzVu28t6t69x1ulGiB4AaABAg,0,0,2019-04-22T19:30:29.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Vladislav Karasyov,UCrgyqW1SvsyiABVdFAmh_mA,"""some first time... stuff...""",UgyfabWOefZpqeCNnCF4AaABAg,0,0,2019-04-22T18:06:05.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
A'dayzvibd Wöd,UCyUAP-XBen0rAMEUOtDykVA,Did Emilia ever find her butt plug?,Ugw46PyBGR4PFs-5Ea54AaABAg,1,0,2019-04-22T15:26:29.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
sonia reis,UCJUqz6jj5fH_ORw-VyUjFLg,😂😂😂😂,UgzuTIl6kxz2sqsz85x4AaABAg,0,0,2019-04-22T14:00:10.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Wingless Dragon,UCIxK9lrpMRrc1e8YYIYMXdA,They listen to 2pac. I couldn't imagine emilya clarke could get any cooler,Ugzwq9akUBh-zEZ6u-94AaABAg,12,0,2019-04-22T09:10:01.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Kimberly Trish,UCONkpeLjWfffHdYSAKxGc7g,cersei omg,Ugxy8VXby5l1tsZ3fuh4AaABAg,0,0,2019-04-22T08:58:36.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
LilithG ghøst,UCvvBVtneDqCe2quJc-CpAZw,1:14 he looks like that defualt guy in fortnite,UgzMbhmgpLVm9v6M9oh4AaABAg,3,0,2019-04-22T06:01:09.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
The Procrastination Artist,UCHmhoE-RKORrE8lKMM99Jlg,I love how she says wheres her accent,UgzWkMdMHpyWQAY75HJ4AaABAg,0,0,2019-04-22T05:06:40.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Mercy Godfrey,UCqEY1-SeqRiclneTchV6N8g,Her laughs so hilarious 😂,UgyqFaX3XgZHxCgqsxV4AaABAg,0,0,2019-04-21T10:39:06.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Ali Abbas,UCx2aBL2eXTItNGZ9jvnFPug,What the fuck.,UgyVO8DmQg8GwZVU-3t4AaABAg,0,0,2019-04-20T18:13:42.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Bang Shaun,UCAegi2f9uuZOIXsGF9xLAVA,I thought it was a GOT blooper reel not a Emilia Clarke HL reel.... I’m team Jon Snow so this video gets a thumb down,UgxlTwoo8Fa98D0pp5J4AaABAg,0,0,2019-04-20T04:10:24.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Matt Garcya,UCXsKwGfdThREVv5w9k3l_Lg,Looks like I missed a lot during Season 7,UgyIlEKCYrGYIfUbPHd4AaABAg,0,0,2019-04-19T23:53:44.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
facon lisiak Maxime,UC24CevQScQwSIoD3kZhCs1A,Blushing blushing 😂,Ugwe2QZ2RIch_zjMkD14AaABAg,1,0,2019-04-19T20:48:19.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
hall s,UCOt1ASM0aMXfpzllsoBcJgQ,WHERE'S MY WIGGG,UgzR8SvBDik8OCS6K8R4AaABAg,0,0,2019-04-18T22:08:52.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Big Bise,UCcLYt67OmNTvGWQOye-XUTg,"Anyone a good gif maker? From Jaime's gesture to Jon's wink, lol.
https://youtu.be/H1BdgurCI9Y?t=313",Ugwpe6n2abV6CR_PojB4AaABAg,0,0,2019-04-18T15:30:49.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
II R35PECT II,UCaogLyiAlZDvyMuTmGnuOkA,3:41,UgxW5ZFXabbinbC1XGR4AaABAg,0,0,2019-04-18T06:25:41.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
BurûChan,UCpOgrOw6pFBKUX5CKPsKSTw,"Did you see her tits in the early video? When she say ""where is my..""",UgyNlF7piDBLBH6J_Gt4AaABAg,0,0,2019-04-18T01:08:19.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Frisch Fisch,UCdvf5kw3B3j792LjUTCcguQ,"2:55 Yep, she found him there. But it didn't go so well... 😥",UgwmzI5oE57MQaieP6p4AaABAg,18,0,2019-04-17T19:29:41.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
sharif majhi,UCcDRcIJPiPysfYVU2_hJ54w,She is something special 💕Always addicted to her,UgzUrXZAF-HuWvjkCQd4AaABAg,5,0,2019-04-17T17:43:06.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
전대현입니다,UC6mzZpyuA9qiRv-lWDAK_Jw,who's the person at 4:22 ?,UgxCKnlqWY5FSg7h2fJ4AaABAg,0,0,2019-04-17T13:59:28.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Fan William,UCo7jhw2CwI6I8p3Qg-MytAQ,Lord Tywin is still menacing even in daydreaming.,UgxHKqR_o_VWZTEQ-nN4AaABAg,0,0,2019-04-17T04:59:04.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
SassySarah,UCIePcNdWF_ycR5GC-ZHwt1Q,Most of the got clips are actually from season 5/6.,UgxUmx1ac92Q3uN50Ux4AaABAg,96,0,2019-04-16T22:20:48.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
V ELKADY,UCMwBbkaKBnCKgN-IJFj5hJg,صوتها احسن من حياتي,Ugwqbi7EYudpsMJBxWF4AaABAg,0,0,2019-04-16T17:59:22.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Johan Newaz,UCSMbvhymPKr97-7GeQgx04Q,Who else really thought that was chewy for a second.,UgxabnRie3fNRyfAaKR4AaABAg,0,0,2019-04-14T13:51:32.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Johan Newaz,UCSMbvhymPKr97-7GeQgx04Q,What is more beautiful than a laughing woman?,UgzOwdn3IVTy2l25H214AaABAg,3,0,2019-04-14T13:50:15.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Chucho Turrubiates,UCSQ_xXs6ca6BeUXKf8PaKbQ,for a moment I  thought it was all about emilia.. not that I complain :P,Ugxib0qz1a5yYjnQ1wV4AaABAg,0,0,2019-04-13T18:41:36.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
sarah Sampson,UCwX1UZByn5TfNxg8Lvs7Lqg,"0:23 😂😂😂😂😂this is hilarios. After shooting  game of thrones basically all your life , you start hallucinating. Emelia clark at 90 years old and with dimentia.",UgyZz5YG7NtYG1E0lC54AaABAg,0,0,2019-04-13T08:38:25.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
jon snow,UCKglvukBru69F065JcpW0VA,Why is it just her where is everyone else. Somebody is obsessed with emilia,UgxnIk88WJ3rtSVRviR4AaABAg,0,0,2019-04-13T01:49:09.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Raeyne Jaymeson,UCszIuKn9U2iHhssqTD9vIXA,"Game of thrones bloopers, huh.. Yeah more like Clickbait for views",Ugyk85x9rdX4zl1vEcR4AaABAg,0,0,2019-04-12T02:20:13.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
TonedMars0734,UCx1YL5Yya6htOJdBdAjbu5w,Emilia just isn’t funny period,UgyiRJ7td3ItRAhV3W54AaABAg,0,0,2019-04-10T16:33:07.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Elmer Flores,UCC4DHvwwF7FIDnwgNcYhNXQ,More like just Emilia Clarke,UgzH5ARaT7kf3hYhS7l4AaABAg,0,0,2019-04-10T06:24:58.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Puchamon 21M,UCz_O-7s7fKJ2x1zN1jdXf4g,You fucking liar!! I am happy.,Ugwla05qK0TaPrNZ8L54AaABAg,0,0,2019-04-10T05:35:28.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
I want to believe,UCA8YLhyA9EBAPxwlBWhvITg,3:41 Emila Clarke just got hotter,UgxBxpkjcGd_NUZtuHx4AaABAg,0,0,2019-04-08T22:55:35.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Stoyalz,UC-cJ7UoNkk7op8X2E6jweaA,"''wheres my buttplug''
What teh fuck?!!!? XD",UgwZob3XilzHzHSgSXF4AaABAg,0,0,2019-04-07T16:33:29.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Val Roycant,UC6mLRIa2gVfdo5UPHlSJC7A,"A PUPPY IS NOT A SLAVE!
DRACARYS!!! 😂",UgzujGxsRPnOQsFrKfN4AaABAg,2,0,2019-04-06T16:16:48.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
————Trampers————,UCsDU5ObcsQoFNsH6U4CjKlQ,The picture of the video is the dust 2 map in real life xd,Ugy-4pmyGWZjVz-d4Et4AaABAg,0,0,2019-04-06T08:09:57.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
ddrlb Hski,UCh5MlfxrncCnjOos7ImH9Vw,click bait,Ugw7wVmC7BUs8_fFm4R4AaABAg,0,0,2019-04-06T00:39:54.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Ivan Ivanov,UC4QINZOtUV9KueqEuj7J4BA,the one with Emilia and puppets just almost killed me from laugh :D,Ugzc50sRp0v-0yvP30Z4AaABAg,0,0,2019-04-05T13:46:57.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
guLaLi56,UCgxCya9YJvECHI1Mbb3RU2Q,Emilia Clarke in real life is more like Louisa Clark from Me Before You. Her laugh is so infectious ❤,UgxAujOPtPTvatvl2694AaABAg,3,0,2019-04-05T12:36:06.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Jacques Media Reviews JMR,UCn3naMRJmO-aldr8fKRpkrg,How many ads do you need for editing together clips you don't own?,UgztwYnR7vom0Pnmv414AaABAg,0,0,2019-04-04T22:42:58.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Anna Budai Tóth,UCjke5zXRkuU4etY11B9styA,Of course I get a GOT ad,UgxhiLRGHNy4po_ZdL14AaABAg,0,0,2019-04-04T15:18:54.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
M M,UCtZ6ylZABZkDCV6dxAeiYLA,starts at 4:30,UgxtBql_hq1WzZ6tD3x4AaABAg,0,0,2019-04-04T02:59:57.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
anafbmad,UCf3dj-H_iCdRF7pmI54XXXw,Sophir Turner needs to sing Karma Chameleon,UgwMniQR0Mo-VpRdfdd4AaABAg,0,0,2019-04-02T16:54:05.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
David W.,UCmWpdKf4r5u5nVGe_jzSvZw,She is so cute and funny.,UgwviOVYWFlQbtomTzd4AaABAg,0,0,2019-04-01T02:01:19.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
San Escalante,UCTxwXHor799YwzLVX_KXRpA,Qué canción está escuchando con el khal??,Ugx3jj-dk6mbr59H_614AaABAg,0,0,2019-03-29T20:32:59.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Ian Christensen,UCVIywuKEivIUIHyPd7_4zmQ,Tywinn: *sits menacingly*,UgxZc3ufP0NS0T4FA6F4AaABAg,0,0,2019-03-29T09:39:33.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
misteryhorse,UCLs6P2VDgmF0kjAhl-oql5w,Emilia is so cringy jesus,UgyfZq6LRSszEW9iH8x4AaABAg,0,0,2019-03-29T02:13:41.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
SHREK 5,UCjg7zDNso7YuX05qLDqMjvA,10:25 song?,UgyUfffZy8cvuP5ALp54AaABAg,0,1,2019-03-27T21:23:26.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Thorney 97,UC15iS0KVeR7cHg74MbTDypw,She’s not gonna shag you,Ugwig0zugZSldv3QayZ4AaABAg,0,0,2019-03-27T09:13:53.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Tae,UCFJLYBK8rCQKHDdClmJOrng,"""Where is my butt plug"" LMAO",UgzPtdU0Od7Zfgm9c6x4AaABAg,0,0,2019-03-26T17:21:05.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Samantha Blomquist,UCedHY3tU2d2b-BLtMF7HUhQ,"Seeing ""The Hound"" laugh.  So weird.",UgxMofEwDlZJOxY0QpN4AaABAg,0,0,2019-03-26T12:04:26.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
PandaPandaPanda PandaPandaPanda,UCHSFwP5QskeHcdLF4focKwg,Season 7 your ass!!!,UgwOKlse_saPacaSstF4AaABAg,0,0,2019-03-25T12:02:11.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Unsub,UCtAFJYvnQPQw6msD14Mzvjw,1;20 song ? :D,UgxZBXBW1bUpSsSXddB4AaABAg,0,0,2019-03-24T22:34:25.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Arya Lamario,UCkf7sshM6Fc1fBLRrFL27_w,When Emilia said “WHERE’S MY ACCENT?!!” LMAOOO 😭🤣🤣🤣,UgydqyBzFSj0b2t7s_Z4AaABAg,30,0,2019-03-24T18:23:04.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Robert Francis,UCiAQjxXCYTBM8KTy6JLgP0Q,"Hey Emilia clark, if you're watching this, DID that wookie nearly eat you, or was the
guy just giving you a hug, if he did: awwww.
P.s Drogon's awesome!",UgzcIv5Y6iT3_kpCzjd4AaABAg,0,0,2019-03-24T08:08:40.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
kasda,UCC7tbt9TAuH-pOiB9_yyS9Q,Literally just Emilia Clarke being funny as shit,UgzPOqhEnqzpRYrAAZN4AaABAg,0,0,2019-03-24T05:32:05.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Killerlordx,UC_PtztUd58jhPTp54fTQfSA,I find it funny that most of this is a tribute to emilia Clark and this video should be named emilia Clark bloopers and GOT bloopers. I also saw that most the bloopers are from all seasons and a couple of bloopers from interviews on different movies.,UgzrmC-ZwfUWymqCGMl4AaABAg,0,0,2019-03-24T04:47:11.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
goatisdemen,UCGhj5jaKftpKJP1BwBBJjVA,thanks dr. clickbait,UgzFy2EdD9wwfFavwwB4AaABAg,0,0,2019-03-23T01:34:52.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Pokerface1337,UC6S8iUSqib3k8O-rOsFbhKQ,Gotta love the Bloopers :),UgziOosbiMn4telvHYp4AaABAg,0,0,2019-03-22T18:04:29.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Melody Xu,UCUcYcROO8fRmGFCwdTSBShQ,the first one was truly the best,Ugzr8A1kwYvg0tdXyWF4AaABAg,0,0,2019-03-22T17:37:22.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Vanguard,UCScmOXv2GW5KPi7vTuQbHZw,I need some dorthartki,Ugyh6-Cv7X8v07kI3514AaABAg,0,0,2019-03-22T03:01:44.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Frooty Lachica,UCtsnsKKBnFklc5Dw6Vsh5Rg,"Nip slip at ""where are my kale chips""",UgwdlQ1Lw4-wWW4zSd14AaABAg,0,0,2019-03-22T02:51:16.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Noah Hastings,UC6nuAwl3AjFOpYz_0K7M7Pw,Thank God for Emilia and her tits,UgzI5xUAOKX3qnxOJO54AaABAg,0,0,2019-03-21T15:51:00.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
E C,UC2bg6h6ihHCffs82wGboqZA,Misleading title.,UgwGsRCTfNnyOAt6zXN4AaABAg,0,0,2019-03-21T13:50:18.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
andrew hopkinson,UCoHWb8Jj_iuhm5eo8c8NCjA,I think you have still got room left  for some more adverts on this video,Ugx1ctezaqMTkh_Db-h4AaABAg,0,0,2019-03-21T07:35:01.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Jakub Šmejkal,UCqq68v-aQKsDitbXGpBM5lw,Nice clickbait dude! 🤣,Ugw3gq4ytd_jrbMLFj94AaABAg,0,0,2019-03-20T23:29:27.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Queen Drea Bear,UC9rb6D2bnKlrqLo9cu6YPow,The benevolent slavers of FUCK,Ugy3gwgp5yO7hf8bESV4AaABAg,0,0,2019-03-20T18:43:08.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Lucy Natsuri,UCZ0I_H4OW1EMYZLV9xYhD_w,9:55 JAJA,UgzptKtsgRpzZ4quG8p4AaABAg,0,1,2019-03-20T00:46:05.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Al Munnerz,UCWqynf3eV7RgMZXd_DFfbmA,Did she say bath plug or butt plug!!?,Ugz70f_oXPhKjEpaZZl4AaABAg,0,0,2019-03-19T11:07:46.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Captainjack1988,UC8-CbqH1ktZJUku-yZVXeBQ,5 minutes of Emilia Clark and then the same season 1 to 6 bloopers reel that everyone else has uploaded. Not a single season 7 blooper,Ugzy__3J8YefBEGbnud4AaABAg,0,0,2019-03-19T04:58:19.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
StarkGaryen,UCyIzoASsBTjPZlt1pZTj3Sg,emilia clark es una pesada,UgztsCtxjiWQuub1PjF4AaABAg,0,0,2019-03-19T01:02:47.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Caroline Oberg,UCuDn8AJjRt8aKbJCkIgp32A,7 midroll ads in an 11 minute video? Bruh.,UgxUpleZpZMarUaJDDd4AaABAg,1,0,2019-03-18T22:39:38.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Bearded Cynic,UCrF6Ue8pTAFWM6gdw6Nh0vQ,The entire season was a blooper.,UgyOwpxIB374HEbjJvl4AaABAg,0,0,2019-03-18T13:38:41.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Blackie Chan,UCwwlRgXBx3axYtiGkzFNSsg,Good video bad title,Ugy4Y2zgQSgYVbSIXQx4AaABAg,0,0,2019-03-18T07:14:47.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Nicole Alynn,UC9esGL3YiU8yZ83K8wuL5vg,10:53 😂🤣,UgxFr9AU-U1YW0MaDTh4AaABAg,0,0,2019-03-18T02:15:18.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
fiachraswaz,UCS7ZvSO2xhBx1xxmvM7qvxQ,"Amelia clarke, what a headwrecker",Ugwwzy8hFsFTP6PbnTN4AaABAg,0,0,2019-03-17T22:58:53.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
the GOAT,UCK9eeDFiAU1GiLptTNKmzLQ,Ooops almost a tit slip,UgwOsGcDG-5sJO0uzqV4AaABAg,0,0,2019-03-17T08:28:42.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
Mikkel Rye Hansen,UCJmKD0j3sKmwN525tPrZ0ZA,2:12 one should think she was a boy.,UgzCuHJq9BzHJZ6zZtN4AaABAg,1,1,2019-03-15T18:38:16.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
naze,UC9VH0zKJlF2ZhUyE5NNgC1w,the white walker who falls from his   horse HAHAHAHHAHAH 😂,UgyjDRlU1gpP3_qljaZ4AaABAg,1,0,2019-03-15T14:57:26.000Z,Game of Thrones Season 7 BLOOPERS and FUNNY MOMENTS are finally out!,H1BdgurCI9Y,608,24363,7312
