Author,Author_id,Comment,Comment_id,Comment_like,Comment_reply,Comment_published,Video_title,Video_id,Comment_count,Video_like,Video_dislike
Just Merely Anything,UCo3pIz0rh9TzzrE1zJF3VIQ,https://youtu.be/CXI9E3NUQ_E,UgyI1COlmsdTZ7kGKDt4AaABAg,0,0,2019-04-26T05:52:32.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Sirin Aktar,UC_bo4bHlEU0k5tIWxno7aZQ,...,Ugzbmu1Hekfz8E4tMo54AaABAg,0,0,2019-04-26T05:41:44.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
CRISIS CR3ATOR,UCnhhkLHt9Pas1kY66EKTS3w,"Started yesterday to watch this epic show
Hope I'll finish before the finale",UgwYcTz2iCcWZTIK7wp4AaABAg,3,1,2019-04-26T03:50:43.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
queenyuv,UCvszBIxIsOHeVGRfDZ_jFZg,"Wait a sec.. where is varys? You know, the one who always know things before rest of the charecters.!!. The red witch? The other red witch? Remember? Cant be her scene ment nothing at all to the story!
I think the final have to be connected to the lord of light somehow! A war between lord of light and the king of night!! Isnt that just screaming out of the name ""a song of ice, and fire"" literlly. (Sorry for my english)",UgxeKvK7GrDiI2Wl6DF4AaABAg,0,0,2019-04-26T03:24:26.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Matthew McGregor,UClU2KPivu4TKiBarmHd5asQ,"Calling it.
Hot Pie will be king",UgzWUqJLWbilf8IXtgt4AaABAg,0,0,2019-04-26T03:09:07.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Kouchii Shaikh,UCjMT7qhGnt0x8SiMxyDyETw,Is it last part?,Ugxoqp0JAog0EMYi9Yl4AaABAg,0,0,2019-04-26T02:07:11.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
giggity goo,UCntPNfdOpjn38f15tspUQTA,1:25 looks like Sansa is going to survive the dawn because I have not seen that scene yet.,UgzaAD-Amh6H5-rjimp4AaABAg,2,0,2019-04-26T01:18:38.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
Agusta Sister,UCfSQrMaePXB4S9e9NvtS4fQ,"God damn it...i would pay 1000k an EPISODE to see these all in a row NOW...WTF...THIS WAITING 2 YEARS AND NOW WEEK BY SLOW AS.FUCKING BLOODY WEEK IS DRIVING ME CRAZY...

SOMEONE SHOULD OF PROTESTED BIG TIME.OR BRIBED  HBO...THREATENED THEM OR OR TERRORISED EM...OR SOMETHING...BECAUSE THEY HAVE DRIVEN US ALL CRAZY.AS BED.BUGS...WONDERING WONDERING WONDERING...SEARCHING FOR WHAT POSSIBLY COULD HAPPEN...THIS IS TORTURE...ABSOLUTE TORTURE...HOW EVIL  AND VILE.WITH ICE IN THEIR VEINS

WHO GIVES A FUCK ABOUT SPOILERS...I GOTTA KNOW...AND U HAVE WITH HELD INFORMATION WORSE THAN CLInTONS..HYPED IT WORSE THAN CONGRESS AND THEIR RUSSIA RUSSIA RUSSIA TRUMP  CRAP
AND LIED LIED LIED WORSE THAN HER RAPIST.HUSBAND GIVING US.FALSE TEASERS.....HOW CRUEL IS THAT.

HBO SUCKS SOMETIMES....GET ON WITH IT...QND NEXT TIME OFFER TO LET PEOPLE SEE IT EARLY.",Ugy0KAZZ-Ho2u_hVg6Z4AaABAg,0,0,2019-04-25T20:35:01.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
lunix 356,UC-uuNkiKiDKth_mgWGEmadQ,"I love how the ""I know death"" speech was basically Arya turning Gendry on. It was their foreplay essentially.

Basically it was them flirting.",UgyuHAsxg9ycyx7LmcJ4AaABAg,0,0,2019-04-25T20:28:09.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
socrates delloro,UCL2MR1sh6bbuSZWTpePqf7g,https://ponderwall.com/index.php/2019/04/14/happy-ending-game-of-thrones/,Ugyxr9uUaWen5LhXEBd4AaABAg,0,0,2019-04-25T18:54:15.000Z,Game of Thrones | Season 8 | Official Trailer (HBO),rlR4PJn8b8I,88103,985399,23568
